Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
Aaron Cresswell,46.0,4.0,1.0,219.0,15.0,1.0,0.0,5.0
Aaron Hickey,29.0,2.0,1.0,105.0,5.0,1.0,0.0,2.0
Aaron Ramsey,7.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0
Aaron Seydel,12.0,0.0,0.0,82.0,25.0,0.0,0.0,1.0
Aaron Wan-Bissaka,24.0,1.0,0.0,119.0,5.0,4.0,0.0,5.0
Aarón Martín,31.0,1.0,1.0,239.0,18.0,0.0,0.0,2.0
Abakar Sylla,12.0,2.0,1.0,58.0,3.0,0.0,1.0,3.0
Abdel Abqar,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelhamid Sabiri,27.0,0.0,0.0,188.0,4.0,0.0,1.0,1.0
Abderrahman Rebbach,4.0,0.0,0.0,34.0,6.0,0.0,0.0,0.0
Abdessamad Ezzalzouli,9.0,2.0,1.0,54.0,9.0,0.0,0.0,0.0
Abdou Harroui,16.0,0.0,0.0,129.0,5.0,0.0,0.0,1.0
Abdoul Kader Bamba,17.0,2.0,0.0,61.0,12.0,0.0,0.0,2.0
Abdoulaye Doucouré,68.0,1.0,0.0,368.0,44.0,4.0,2.0,6.0
Abdoulaye Touré,18.0,1.0,0.0,181.0,1.0,3.0,0.0,3.0
Abdul Mumin,31.0,5.0,2.0,80.0,2.0,2.0,0.0,5.0
Abdón Prats,19.0,1.0,1.0,116.0,21.0,0.0,0.0,0.0
Ablie Jallow,7.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0
Abner,6.0,0.0,0.0,30.0,2.0,2.0,0.0,0.0
Abraham Rando,5.0,1.0,0.0,32.0,1.0,0.0,0.0,1.0
Achraf Dari,1.0,0.0,0.0,20.0,2.0,1.0,0.0,3.0
Achraf Hakimi,28.0,3.0,1.0,141.0,23.0,1.0,0.0,10.0
Adam Aznou,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hložek,7.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0
Adam Lallana,33.0,1.0,0.0,284.0,19.0,1.0,0.0,1.0
Adam Marušić,49.0,7.0,1.0,209.0,17.0,3.0,1.0,3.0
Adam Masina,43.0,3.0,0.0,251.0,14.0,6.0,0.0,1.0
Adam Obert,4.0,1.0,1.0,42.0,1.0,1.0,0.0,1.0
Adam Ounas,15.0,2.0,0.0,82.0,15.0,0.0,0.0,2.0
Adam Smith,86.0,5.0,0.0,427.0,12.0,8.0,1.0,5.0
Adam Webster,34.0,2.0,0.0,208.0,3.0,3.0,3.0,12.0
Adam Wharton,9.0,0.0,0.0,61.0,1.0,0.0,0.0,3.0
Adama Soumaoro,33.0,6.0,2.0,180.0,5.0,6.0,1.0,3.0
Adama Traoré,32.0,3.0,0.0,213.0,41.0,1.0,0.0,4.0
Ademola Lookman,19.0,0.0,0.0,156.0,34.0,1.0,0.0,2.0
Ademola Ola-Adebomi,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnan Januzaj,28.0,3.0,1.0,198.0,23.0,0.0,0.0,0.0
Adri Embarba,54.0,2.0,2.0,402.0,98.0,1.0,0.0,1.0
Adrian Beck,2.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0
Adrian Grbić,14.0,1.0,0.0,151.0,54.0,0.0,0.0,0.0
Adrien Lebeau,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Adrien Rabiot,52.0,3.0,2.0,413.0,12.0,3.0,1.0,4.0
Adrien Tameze,40.0,1.0,0.0,259.0,5.0,3.0,0.0,11.0
Adrien Thomasson,44.0,5.0,2.0,344.0,48.0,1.0,0.0,3.0
Adrien Truffert,15.0,0.0,0.0,95.0,8.0,1.0,0.0,1.0
Adrià Altimira,10.0,1.0,0.0,73.0,1.0,3.0,0.0,2.0
Adrià Pedrosa,21.0,0.0,0.0,81.0,10.0,0.0,2.0,3.0
Adryelson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Agon Elezi,10.0,2.0,0.0,60.0,1.0,0.0,0.0,0.0
Agustín Martegani,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
Agustín Álvarez Martínez,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0
Ahmed Touba,23.0,1.0,1.0,96.0,3.0,5.0,0.0,2.0
Aiham Ousou,15.0,6.0,3.0,15.0,0.0,1.0,1.0,0.0
Aihen Muñoz,16.0,1.0,1.0,105.0,0.0,0.0,0.0,0.0
Aimar Oroz,9.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0
Ainsley Maitland-Niles,20.0,3.0,2.0,115.0,6.0,2.0,0.0,7.0
Aitor Paredes,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Aitor Ruibal,24.0,1.0,0.0,178.0,43.0,1.0,0.0,1.0
Akim Zedadka,21.0,0.0,0.0,106.0,8.0,4.0,1.0,1.0
Akor Adams,8.0,1.0,1.0,86.0,56.0,0.0,0.0,0.0
Alan Matturro,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Alan Virginius,3.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0
Alassane Pléa,33.0,2.0,2.0,304.0,113.0,1.0,0.0,2.0
Albert Guðmundsson,27.0,2.0,1.0,141.0,35.0,1.0,1.0,0.0
Albert Sambi Lokonga,19.0,2.0,2.0,111.0,4.0,1.0,0.0,4.0
Alberto Cerri,31.0,3.0,1.0,269.0,95.0,1.0,1.0,0.0
Alberto Dossena,12.0,0.0,0.0,66.0,1.0,0.0,2.0,2.0
Alberto Grassi,34.0,3.0,2.0,150.0,6.0,2.0,2.0,2.0
Alberto Moleiro,7.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0
Alberto Moreno,43.0,3.0,2.0,216.0,14.0,3.0,0.0,1.0
Alberto Perea,14.0,2.0,0.0,80.0,8.0,0.0,0.0,1.0
Alberto Soro,14.0,1.0,0.0,126.0,28.0,0.0,0.0,0.0
Aleix García,19.0,1.0,0.0,104.0,4.0,3.0,0.0,6.0
Alejandro Balde,5.0,0.0,0.0,42.0,9.0,0.0,0.0,2.0
Alejandro Garnacho,8.0,0.0,0.0,29.0,18.0,0.0,0.0,0.0
Alejandro Pozo Pozo,19.0,1.0,0.0,108.0,13.0,5.0,0.0,3.0
Alejo Véliz,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0
Aleksandar Mitrović,65.0,4.0,0.0,334.0,105.0,2.0,0.0,2.0
Aleksandar Pavlovic,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aleksandar Radovanović,33.0,2.0,0.0,81.0,4.0,3.0,2.0,1.0
Aleksandar Sedlar,52.0,7.0,3.0,104.0,4.0,2.0,0.0,1.0
Aleksandr Golovin,43.0,4.0,1.0,320.0,16.0,0.0,0.0,0.0
Aleksandr Kokorin,29.0,3.0,0.0,165.0,9.0,0.0,0.0,0.0
Aleksei Miranchuk,14.0,1.0,0.0,209.0,15.0,0.0,0.0,1.0
Alessandro Bastoni,29.0,1.0,1.0,182.0,1.0,3.0,0.0,2.0
Alessandro Buongiorno,29.0,1.0,1.0,211.0,5.0,2.0,0.0,3.0
Alessandro Cortinovis,5.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0
Alessandro Deiola,37.0,1.0,0.0,135.0,2.0,0.0,1.0,1.0
Alessandro Di Pardo,8.0,2.0,1.0,34.0,1.0,2.0,0.0,0.0
Alessandro Florenzi,53.0,2.0,1.0,172.0,13.0,1.0,0.0,3.0
Alessandro Vogliacco,26.0,0.0,0.0,139.0,4.0,1.0,2.0,4.0
Alessandro Zanoli,9.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0
Alessio Romagnoli,72.0,7.0,2.0,282.0,15.0,3.0,1.0,3.0
Alessio Zerbin,9.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0
Alex Iwobi,7.0,0.0,0.0,103.0,21.0,1.0,0.0,5.0
Alex Král,16.0,0.0,0.0,103.0,5.0,0.0,1.0,0.0
Alex Matos,15.0,1.0,0.0,40.0,0.0,1.0,0.0,1.0
Alex Murphy,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Alex Sandro,71.0,3.0,0.0,328.0,12.0,3.0,3.0,4.0
Alex Scott,24.0,0.0,0.0,108.0,9.0,1.0,0.0,4.0
Alex Sola,13.0,1.0,1.0,67.0,15.0,1.0,1.0,1.0
Alexander Isak,21.0,0.0,0.0,117.0,77.0,1.0,0.0,0.0
Alexander Sørloth,24.0,1.0,0.0,370.0,93.0,0.0,0.0,1.0
