,Name,Age,Club,League,Tier,Forwards,Midfielders,Center Backs,Att Mid / Wingers,Fullbacks,MF,FW,DF,FB,DM,AM,CB,CM,WM,left,right,Position,Detailed,Side,Per 90 Minutes_npxG+xAG,Standard_SoT/90,Standard_Dist,Expected_np:G-xG,Long_Cmp,Expected_xA,Expected_A-xAG,CrsPA,PrgP,SCA_SCA90,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Blocks_Pass,Blocks_Sh,Int,Clr,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ,Carries_PrgDist,Carries_PrgC,Carries_CPA,Receiving_PrgR,Performance_Fld,Performance_PKwon,Performance_Recov,Aerial Duels_Won,PK_Accuracy,Goals/npxG,Shot_Accuracy,Goals/SoT,Expected:A-xAG,Long_pass_acc,Overall_pass_acc,Aerial_acc,Take-On-Eff,Set-Piece-Eff,PrgP%,Through-Ball%,Switches%,Long-Ball%,Skill_Passes,Attacking_Passes,Attacking_Carries,Tackle_acc,Challenges_acc,PrgC%,Avg-Carry-Prog-Dist,Avg-Pass-Prog-Dist,Defensive-actions,On-the-ball-vertical-position,Off-the-ball-vertical-position,Carries-Succes%
0,Aaron Cresswell,34,West Ham United,Premier League,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,DF-MF,CB-FB,left,49.107780157030696,27.63298821849339,25.900327391778827,61.74256005736824,52.7787737540337,40.157762638938685,27.106489781283617,73.64646826819649,50.30476873431338,71.56686984582288,20.078881319469343,30.118321979204016,35.460738615991396,21.046970240229474,14.607142857142858,22.194334887056293,17.31803513804231,17.712441735389028,23.377554679096452,17.748296880602364,64.4316959483686,48.60714285714286,58.192900681247764,37.898888490498386,7.529580494801004,7.386159913947651,18.07099318752241,26.03083542488347,18.931516672642523,32.66403728935102,6.214285714285714,26.396848137535816,27.716027249910365,36.85908927931158,,77.83339292098678,91.58309455587393,76.40086206896551,13.240542469664526,14.017341040462428,45.385996409335725,73.50180505415163,9.342057433660488,72.6480203414457,55.65529622980251,24.4524236983842,51.23877917414722,84.45242369838421,79.45500179275726,51.7389745428469,24.991036213696667,41.65467625899281,63.43229543808834,35.175879396984925,19.41852117731515,85.56552962298025,34.31337396916457,31.682813060638683,37.83490224475018,84.27853553481694
1,Aaron Meijers,36,RKC Waalwijk,Eredivisie,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,DF-MF,FB-WM,left,33.51177730192719,23.848625490896108,45.252819206984356,71.81785586231624,54.177124417353895,51.91825026891359,86.23162423807817,69.88167802079597,49.336679813553246,41.37683757619218,29.97490139835066,26.317676586590178,45.930441018286125,42.88275367515239,38.285714285714285,74.14844030118321,59.30441018286125,41.55611330225887,72.28397275008965,35.64001434205809,66.72642524202223,30.5,67.01326640372893,39.61993546073862,9.394048045894586,20.903549659376118,39.11796342775188,49.22911437791323,38.508425959125134,35.92685550376479,26.285714285714285,75.25071633237822,40.87486554320545,56.18501254930083,,94.56560600643546,15.938395415472778,67.49281609195403,43.18344039971449,8.417630057803468,25.493716337522443,87.32851985559566,32.82442748091603,62.477297493643306,51.27468581687612,24.919210053859963,72.67504488330341,89.33572710951526,60.34420939404804,49.838651846539975,31.480817497310866,14.028776978417264,62.02027516292542,68.09045226130654,85.60660445082556,79.21005385996409,60.91789171746146,30.032292787944026,24.221578566256337,57.82483847810481
2,Aaron Wan-Bissaka,26,West Ham United,Premier League,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,DF,FB,right,29.264810849393292,21.028204212781148,10.076391415060023,52.7787737540337,17.676586590175692,28.002868411617065,68.98529939046253,64.3599856579419,44.56794550017927,54.786661885980635,47.25708139117963,15.561133022588741,16.56507708856221,46.2889924704195,83.25,78.41520258157045,66.86984582287559,43.13373969164575,68.84187880960918,51.02187163858014,71.85371100752958,86.39285714285714,68.44747221226245,50.62746504123342,30.656149157404087,63.32018644675511,46.719254212979564,61.41986375044819,47.2212262459663,44.81893151667264,11.857142857142858,26.396848137535816,42.703477949085695,31.839368949444246,,60.529138362531285,63.75358166189111,55.89080459770115,56.20985010706639,17.702312138728324,61.72351885098743,54.07942238267148,72.19193020719739,26.552851434798402,34.614003590664275,31.92100538599641,10.125673249551168,9.55116696588869,48.51201147364647,35.10218716385801,53.06561491574041,88.77697841726618,98.51556842867487,68.5929648241206,70.38765254845657,54.075403949730706,69.12871997131589,34.30211697165411,23.42505430847212,63.81909547738693
3,Aarón Martín,27,Genoa,Serie A,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,DF-MF,FB-WM,left,45.50321199143469,27.0617636558372,22.662786467806477,64.61097167443528,33.775546790964505,55.25277877375403,17.784152025815704,79.74184295446398,13.911796342775187,66.9774112585156,37.110075295804954,14.485478666188598,22.552886339189673,27.500896378630337,41.35714285714286,43.42058085335246,25.600573682323414,25.63642882753675,32.162065256364286,18.42954463965579,37.57619218357834,45.464285714285715,44.06597346719254,34.20580853352456,6.776622445320904,37.2534958766583,17.85586231624238,36.82323413409824,28.253854428110436,37.683757619218355,16.071428571428573,54.22636103151862,16.31409107206884,10.541412692721405,4.990215264187866,79.29924919556667,65.40114613180515,51.616379310344826,10.99214846538187,6.502890173410404,33.895870736086174,29.133574007220215,85.6415848782261,72.68434435161642,15.691202872531418,28.222621184919213,16.732495511669658,86.28366247755835,80.27967013266404,29.401219074937252,28.935102187163857,69.31654676258992,53.14989138305576,64.1062455132807,60.98348887293611,62.15439856373429,27.716027249910365,43.41585934696807,27.8421433743664,67.08542713567839
4,Abakar Sylla,21,Strasbourg,Ligue 1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,DF,CB,left,18.843683083511777,34.16636915387362,57.58457620953074,75.36751523843671,89.85299390462531,21.369666547149517,22.62459662961635,6.023664395840803,81.39117963427752,6.489781283614199,7.708856220867695,23.736106131229832,6.722839727500897,87.59411975618501,91.28571428571428,92.64969523126568,85.08425959125134,78.80960917891717,90.74937253495877,88.63391896737181,94.08390103979922,95.07142857142857,91.89673718178558,16.421656507708857,50.5198996055934,60.52348512011474,93.94048045894586,14.557188956615274,3.60344209394048,10.075295804948011,56.82142857142857,26.396848137535816,90.21154535675869,86.51846539978487,,25.813371469431534,59.957020057306586,29.20258620689655,49.321912919343326,65.53468208092485,90.59245960502693,76.57039711191335,91.5303525990549,10.679258990192517,9.730700179533214,19.138240574506284,38.27648114901257,48.33034111310592,27.429186088203654,62.782359268555034,27.536751523843673,34.02877697841727,98.29833454018826,2.0459440057430007,69.09547738693468,82.9802513464991,91.64575116529222,9.32902762827413,21.10789283128168,86.4321608040201
5,Abdallah Sima,23,Brest,Ligue 1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FW-MF,,,51.78443968593861,80.8639771510175,76.31866133139323,81.39117963427752,9.89602007888132,60.021513087128,21.226245966296165,51.70311939763356,23.126568662603084,22.37361061312298,44.137683757619214,92.61384008605235,92.39870921477232,10.290426676228039,69.35714285714286,17.820007171029044,81.7497310864109,71.4951595553962,47.90247400501972,41.950519899605595,16.95948368590893,20.035714285714285,55.89817138759412,80.38723556830405,90.60595195410541,82.00071710290426,51.12943707422015,83.5424883470778,90.21154535675869,89.85299390462531,82.85714285714286,89.43409742120345,58.94585873072786,90.46253137325206,,80.26456918126564,28.223495702005728,52.72988505747126,87.43754461099215,35.29624277456647,10.987432675044884,42.81588447653429,17.884405670665213,10.679258990192517,19.78456014362657,51.8491921005386,13.931777378815081,3.4111310592459607,64.46755109358193,35.281462889924704,83.57834349229114,66.83453237410072,33.1643736422882,82.30437903804739,24.47954055994257,9.012567324955116,41.7712441735389,87.47757445281665,86.06082548877625,8.650394831299355
6,Abde Ezzalzouli,22,Real Betis,La Liga,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FW-MF,,,81.97715917201998,93.03820064262763,67.07893779556203,6.059519541054141,15.095016134815346,77.16027249910363,13.158838293295089,76.04876299749014,39.6916457511653,78.02079598422374,94.65758336321261,80.60236643958409,77.87737540337038,69.91753316600932,80.46428571428571,65.47149515955539,59.19684474722122,78.48691287199713,52.81462889924704,72.60666905700968,22.69630692004303,35.964285714285715,13.087128002868411,84.97669415561133,89.67371817855863,93.07995697382574,84.1878809609179,92.90068124775905,96.30692004302618,86.91287199713159,88.35714285714286,76.93409742120345,53.137325206167084,43.31301541771244,4.990215264187866,12.477654629960671,60.852435530085955,10.560344827586206,8.957887223411849,6.719653179190751,12.926391382405743,30.180505415162457,46.41948382406398,80.56665455866327,44.66786355475763,79.92818671454219,52.38779174147217,14.614003590664273,86.01649336679813,37.791323054858374,94.2631767658659,93.59712230215827,60.93410572049239,98.8872936109117,98.99497487437185,14.219030520646319,36.53639297239154,89.59454610692501,52.49818971759594,18.26992103374013
7,Abdel Abqar,25,Alavés,La Liga,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,DF,CB,right,5.281941470378301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.254558455488023,,,80.22840827980015,,,,,,,,,,,,,,,,,,,,,
8,Abdenego Nankishi,21,Werder Bremen,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FW,,,76.51677373304783,73.79507318814709,94.14332484539833,99.2470419505199,42.48834707780566,96.77303693079958,91.60989602007888,94.37074220150592,2.9759770527070635,35.245607744711364,98.9602007888132,4.517748296880603,94.69343850842597,10.290426676228039,95.57142857142857,96.9881678020796,92.07601290785227,98.38651846539979,96.66547149515957,91.68160631050556,3.60344209394048,63.92857142857142,53.67515238436715,92.07601290785227,94.40659734671925,97.13158838293296,91.71746145571889,91.43062029401219,97.81283614198637,93.83291502330584,95.03571428571429,26.396848137535816,96.5220509143062,59.34026532807458,,38.00500536288881,2.7578796561604584,50.0,50.57102069950036,28.648843930635838,14.039497307001794,5.379061371841155,10.178117048346055,10.679258990192517,0.6463195691202872,6.840215439856373,46.89407540394973,28.222621184919213,73.25206167084977,61.312298314808174,94.98027967013266,17.014388489208635,77.4076755973932,71.06963388370423,90.7035175879397,10.3770197486535,88.27536751523843,72.8740581270183,55.5394641564084,8.82986360373295
9,Abderrahman Rebbach,25,Alavés,La Liga,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,FW-MF,,,60.42112776588151,68.72545519457337,88.10476536922516,23.664395840803152,59.41197561850126,90.67766224453209,2.9759770527070635,91.93259232699893,43.95840803155252,70.59878092506274,95.51810684833274,94.37074220150592,69.95338831122267,10.290426676228039,72.28571428571429,75.65435640014341,39.76335604159197,80.20795984223736,56.65112943707422,88.02438149874507,33.45285048404446,37.5,54.49982072427393,90.4983865184654,92.68555037647901,84.1878809609179,83.79347436357118,93.76120473287916,97.05987809250628,93.94048045894586,91.42857142857143,26.396848137535816,75.61850125493008,45.35675869487271,,14.694315337861996,63.53868194842407,8.333333333333332,4.461099214846538,8.634393063583815,2.082585278276481,5.740072202166065,4.543802253725918,86.12422811478388,20.933572710951527,37.16337522441652,42.76481149012567,84.23698384201077,98.20724273933308,77.37540337038365,93.58192900681249,50.10791366906475,8.979000724112963,97.37975592246949,95.11844938980617,28.689407540394974,61.41986375044819,85.32472192321492,36.20564808110065,16.188083273510408
