Name,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
Aaron Cresswell,1.3790909090909091,34.72727272727273,35.54545454545455,-0.8181818181818182,-0.13090909090909092,0.284,27.9125,30.6875,-2.8000000000000003,-0.2,0.365
Aaron Meijers,1.27,26.333333333333332,29.916666666666668,-3.5833333333333335,-0.09166666666666666,0.6375000000000001,20.614285714285717,28.685714285714287,-8.114285714285714,-0.42,0.19285714285714287
Aaron Wan-Bissaka,1.50875,36.125,28.625,7.5,0.21624999999999997,0.37625,33.7625,29.625,4.1375,0.1025,-0.09125
Aarón Martín,1.2189999999999999,27.5,30.4,-2.9,-0.257,0.26899999999999996,25.177777777777777,30.733333333333334,-5.555555555555555,-0.2866666666666667,-0.11333333333333334
Abakar Sylla,1.32,19.666666666666668,22.0,-2.3333333333333335,-0.26999999999999996,-0.58,19.633333333333333,20.2,-0.5666666666666668,-0.17666666666666667,-0.3133333333333333
Abdallah Sima,1.81,17.714285714285715,12.142857142857142,5.571428571428571,0.5771428571428572,0.16999999999999993,8.966666666666667,14.233333333333333,-5.3,-1.08,-0.7066666666666667
Abde Ezzalzouli,1.558,11.0,9.8,1.2,0.584,0.24400000000000005,12.2,10.959999999999999,1.24,0.682,0.32999999999999996
Abdel Abqar,1.27,24.333333333333332,25.666666666666668,-1.3333333333333333,-0.19333333333333336,-0.16666666666666666,26.63333333333333,25.366666666666664,1.2333333333333334,-0.036666666666666674,-0.11333333333333333
Abdenego Nankishi,1.32375,17.625,8.75,8.875,0.5499999999999999,-0.26875,4.949999999999999,4.1499999999999995,0.8500000000000001,0.645,0.69
Abderrahman Rebbach,1.21,7.333333333333333,8.0,-0.6666666666666666,-0.11666666666666665,0.06666666666666667,8.233333333333333,7.166666666666667,1.0666666666666667,0.06999999999999999,0.08
Abdou Harroui,0.9711111111111111,19.88888888888889,20.77777777777778,-0.8888888888888888,-0.8677777777777779,-0.5177777777777778,15.571428571428571,19.12857142857143,-3.542857142857143,-0.6771428571428572,-0.5085714285714286
Abdoulaye Bamba,1.3527272727272726,21.90909090909091,22.09090909090909,-0.18181818181818182,-0.14,0.041818181818181796,18.825,20.5,-1.6875,-0.23875,-0.16125
Abdoulaye Doucouré,1.2458333333333333,27.083333333333332,36.083333333333336,-9.0,-0.36833333333333335,0.12250000000000001,33.8,39.5375,-5.7375,-0.23875000000000002,0.08750000000000001
Abdoulaye Niakhate Ndiaye,1.5066666666666666,24.0,24.333333333333332,-0.3333333333333333,0.07666666666666667,0.2833333333333333,22.333333333333332,28.366666666666664,-6.066666666666667,-0.51,-0.02
Abdoulaye Touré,1.220909090909091,14.181818181818182,19.181818181818183,-5.0,-0.8309090909090909,-0.6727272727272727,20.7625,24.0,-3.25,-0.029999999999999985,0.09000000000000001
Abdukodir Khusanov,1.5,10.0,8.5,1.5,0.165,-0.195,13.4,12.100000000000001,1.25,0.14,-0.635
Abdul Fatawu Issahaku,1.6466666666666665,24.666666666666668,14.0,10.666666666666666,0.7833333333333332,0.22666666666666666,22.733333333333334,13.066666666666668,9.700000000000001,0.59,0.30333333333333334
Abdul Mumin,1.26,18.5,19.875,-1.375,-0.45625,-0.2975,19.84,23.02,-3.1399999999999997,-0.186,-0.352
Abel,1.5466666666666666,28.0,25.333333333333332,2.6666666666666665,-0.10666666666666665,-0.4366666666666667,25.900000000000002,27.399999999999995,-1.5666666666666664,-0.21333333333333335,-0.32
Abel Ruiz,1.8375,19.25,13.875,5.375,0.85,0.0625,18.05,14.7875,3.2625,0.1475,-0.43500000000000005
Abner,1.4633333333333336,12.333333333333334,13.0,-0.6666666666666666,-0.09999999999999999,-0.4766666666666666,13.1,16.166666666666668,-3.033333333333333,-0.18000000000000002,-0.5066666666666667
Achraf Dari,1.13,7.0,13.333333333333334,-6.333333333333333,-1.3866666666666667,-1.4100000000000001,6.6000000000000005,10.1,-3.5,-0.7566666666666667,-0.6433333333333334
Achraf Hakimi,2.2525,53.75,20.5,33.25,1.62,0.7175,44.0625,23.25,20.8125,1.04125,0.2825
Adam Armstrong,1.2235714285714285,28.5,27.571428571428573,0.9285714285714286,-0.17785714285714288,-0.20785714285714288,36.285714285714285,36.042857142857144,0.24285714285714274,-0.2571428571428571,-0.08571428571428573
Adam Dźwigała,1.3890909090909092,15.181818181818182,15.909090909090908,-0.7272727272727273,-0.14545454545454548,-0.026363636363636363,12.216666666666667,13.366666666666667,-1.1333333333333333,-0.23333333333333336,-0.15666666666666665
Adam Hložek,1.9214285714285713,34.42857142857143,19.142857142857142,15.285714285714286,0.9228571428571428,0.4628571428571428,14.866666666666667,12.466666666666667,2.4,0.48333333333333334,0.47000000000000003
Adam Kaied,1.01,6.4,6.8,-0.4,-0.4699999999999999,-0.404,1.5,3.0,-1.5,-0.83,-0.54
Adam Lallana,1.5575,18.0,13.083333333333334,4.916666666666667,0.32833333333333337,-0.06083333333333334,11.5875,8.575,2.9875,0.45375,0.11124999999999999
Adam Marušić,1.749090909090909,44.09090909090909,32.18181818181818,11.909090909090908,0.5290909090909092,0.17727272727272728,36.975,28.7875,8.175,0.3925,0.10375
