,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
0,Aaron Cresswell,34.0,Left,170.0,68.0,West Ham,Premier League,1,0,1,1
1,Aaron Hickey,22.0,Both,175.0,64.0,Brentford,Premier League,1,0,1,1
2,Aaron Ramsey,21.0,,178.0,76.0,Burnley,Premier League,1,0,1,0
3,Aaron Seydel,,Left,199.0,89.0,Darmstadt 98,Bundesliga,1,1,0,0
4,Aaron Wan-Bissaka,26.0,Right,182.0,72.0,West Ham,Premier League,1,0,0,1
5,Aarón Martín,27.0,Left,180.0,72.0,Genoa,Serie A,1,0,1,1
6,Abakar Sylla,21.0,,,,Strasbourg,Ligue 1,1,0,0,1
7,Abdel Abqar,25.0,Right,188.0,79.0,Alavés,La Liga,1,0,0,1
8,Abdelhamid Sabiri,27.0,Right,183.0,79.0,Al-Fayha,Pro League,1,0,1,0
9,Abderrahman Rebbach,26.0,,,,Alavés,La Liga,1,1,0,0
10,Abdessamad Ezzalzouli,22.0,Right,177.0,73.0,Betis,La Liga,1,1,1,0
11,Abdou Harroui,26.0,Right,182.0,78.0,Hellas Verona,Serie A,1,0,1,0
12,Abdoul Kader Bamba,,Right,176.0,67.0,Nantes,Ligue 1,1,1,1,0
13,Abdoulaye Doucouré,31.0,Right,180.0,59.0,Everton,Premier League,1,1,1,0
14,Abdoulaye Touré,30.0,Right,187.0,77.0,Le Havre,Ligue 1,1,1,1,0
15,Abdul Mumin,26.0,Right,188.0,84.0,Rayo Vallecano,La Liga,1,0,0,1
16,Abdón Prats,31.0,,177.0,76.0,Mallorca,La Liga,1,1,0,0
17,Ablie Jallow,25.0,Left,166.0,55.0,Metz,Ligue 2,2,1,1,0
18,Abner,24.0,Left,181.0,73.0,Lyon,Ligue 1,1,0,0,1
19,Abraham Rando,23.0,,183.0,,Villarreal B,La Liga 2,2,0,0,1
20,Achraf Dari,25.0,Right,190.0,82.0,Brest,Ligue 1,1,0,0,1
21,Achraf Hakimi,25.0,Right,177.0,68.0,Paris S-G,Ligue 1,1,0,1,1
22,Adam Aznou,18.0,,,,Bayern U19,U19 Bundesliga,6,0,0,1
23,Adam Hložek,22.0,Right,180.0,87.0,Hoffenheim,Bundesliga,1,1,1,0
24,Adam Lallana,36.0,Right,173.0,67.0,Southampton,Premier League,1,1,1,0
25,Adam Marušić,31.0,Right,185.0,76.0,Lazio,Serie A,1,1,1,1
26,Adam Masina,30.0,Left,189.0,78.0,Torino,Serie A,1,0,0,1
27,Adam Obert,22.0,Left,186.0,,Cagliari,Serie A,1,0,0,1
28,Adam Ounas,,Left,172.0,64.0,Lille,Ligue 1,1,1,1,0
29,Adam Smith,33.0,Right,174.0,78.0,Bournemouth,Premier League,1,0,1,1
30,Adam Webster,29.0,Right,192.0,79.0,Brighton,Premier League,1,0,0,1
31,Adam Wharton,20.0,Left,182.0,,Crystal Palace,Premier League,1,0,1,0
32,Adama Soumaoro,,Right,186.0,92.0,Bologna,Serie A,1,0,0,1
33,Adama Traoré,28.0,Right,178.0,72.0,Fulham,Premier League,1,1,1,0
34,Ademola Lookman,26.0,Right,174.0,69.0,Atalanta,Serie A,1,1,1,0
35,Ademola Ola-Adebomi,20.0,,,,Waasland-Bev,Pro League B,2,1,0,0
36,Adnan Januzaj,29.0,Left,182.0,74.0,Sevilla,La Liga,1,1,1,0
37,Adri Embarba,32.0,Right,173.0,66.0,Rayo Vallecano,La Liga,1,1,1,0
38,Adrian Beck,27.0,,183.0,,Heidenheim,Bundesliga,1,0,1,0
39,Adrian Grbić,28.0,Right,185.0,82.0,Luzern,Super Lg,1,1,1,0
40,Adrien Lebeau,25.0,Right,175.0,69.0,Hansa Rostock,3,3,0,1,0
41,Adrien Rabiot,29.0,Left,188.0,71.0,Juventus,Serie A,1,0,1,0
42,Adrien Tameze,30.0,Right,180.0,78.0,Torino,Serie A,1,0,1,1
43,Adrien Thomasson,30.0,Right,182.0,74.0,Lens,Ligue 1,1,1,1,1
44,Adrien Truffert,22.0,Left,173.0,60.0,Rennes,Ligue 1,1,0,0,1
45,Adrià Altimira,23.0,Right,,,Leganés,La Liga,1,0,0,1
