Lukáš Hrádecký
Granit Xhaka
Álex Grimaldo
Jonathan Tah
Jeremie Frimpong
Florian Wirtz
Jonas Hofmann
Edmond Tapsoba
Exequiel Palacios
Odilon Kossonou
Robert Andrich
Victor Boniface
Piero Hincapié
Josip Stanišić
Patrik Schick
Amine Adli
Nathan Tella
Adam Hložek
Borja Iglesias
Arthur
Matej Kovar
Nadiem Amiri
Gustavo Puerta
Noah Mbamba
Timothy Fosu-Mensah
Ken Izekor
Niklas Lomb
Reno Münz
Francis Onyeka
Federico Valverde
Antonio Rüdiger
Rodrygo
Jude Bellingham
Dani Carvajal
Toni Kroos
Aurélien Tchouaméni
Vinicius Júnior
Andriy Lunin
Eduardo Camavinga
Ferland Mendy
Nacho
Luka Modrić
Brahim Díaz
Joselu
Fran Garcia
Lucas Vázquez
David Alaba
Kepa Arrizabalaga
Éder Militão
Dani Ceballos
Arda Güler
Thibaut Courtois
Nicolás Paz
Gonzalo García
Mario Martín
Álvaro Muñoz
Álvaro Carrillo
Álvaro Odriozola
Vinicius Tobias
Theo Zidane
Henrikh Mkhitaryan
Yann Sommer
Nicolò Barella
Marcus Thuram
Hakan Çalhanoğlu
Lautaro Martínez
Federico Dimarco
Alessandro Bastoni
Matteo Darmian
Francesco Acerbi
Benjamin Pavard
Denzel Dumfries
Stefan de Vrij
Carlos Augusto
Yann Aurel Bisseck
Davide Frattesi
Kristjan Asllani
Alexis Sánchez
Marko Arnautović
Emil Audero
Davy Klaassen
Juan Cuadrado
Tajon Buchanan
Stefano Sensi
Raffaele Di Gennaro
Ebenezer Akinsanmiro
Lucien Agoume
Joaquín Correa
Tomasso Guercio
Issiaka Kamate
Aleksandar Stanković
Rodri
Phil Foden
Ederson
Julián Álvarez
Kyle Walker
Bernardo Silva
Erling Haaland
Rúben Dias
Manuel Akanji
Joško Gvardiol
Nathan Aké
Jeremy Doku
Mateo Kovačić
Kevin De Bruyne
John Stones
Jack Grealish
Rico Lewis
Matheus Nunes
Stefan Ortega
Oscar Bobb
Kalvin Phillips
Sergio Gómez
Aymeric Laporte
Cole Palmer
James Mcatee
Scott Carson
Micah Hamilton
Máximo Perrone
Mahamadou Susoho
Jacob Wright
William Saliba
Declan Rice
Martin Ødegaard
Ben White
Bukayo Saka
Gabriel Magalhães
David Raya
Kai Havertz
Gabriel Martinelli
Oleksandr Zinchenko
Leandro Trossard
Gabriel Jesus
Jakub Kiwior
Takehiro Tomiyasu
Eddie Nketiah
Jorginho
Thomas Partey
Aaron Ramsdale
Emile Smith Rowe
Fabio Vieira
Reiss Nelson
Jurriën Timber
Cédric Soares
Mohamed Elneny
Ethan Nwaneri
Mauro Bandeira
Bradley Ibrahim
Karl Jakob Hein
Myles Lewis-Skelly
Charles Sagoe Jr
James Sweet
Reuell Walters
Gianluigi Donnarumma
Kylian Mbappé
Vitinha
Lucas Hernández
Danilo Pereira
Warren Zaire-Emery
Manuel Ugarte Ribeiro
Achraf Hakimi
Marquinhos
Lee Kang-in
Bradley Barcola
Milan Škriniar
Ousmane Dembélé
Gonçalo Ramos
Fabián Ruiz Peña
Randal Kolo Muani
Marco Asensio
Carlos Soler
Lucas Beraldo
Nordi Mukiele
Arnau Tenas
Yoram Zague
Keylor Navas
Senny Mayulu
Nuno Mendes
Ethan Mbappé
Cher Ndour
Hugo Ekitike
Layvin Kurzawa
Ismaël Gharbi
Alexandre Letellier
İlkay Gündoğan
Jules Koundé
Robert Lewandowski
João Cancelo
Marc-André ter Stegen
Andreas Christensen
Lamine Yamal
Ronald Araújo
Frenkie de Jong
Pau Cubarsí
João Félix
Raphinha
Pedri
Alejandro Balde
Fermin López
Iñigo Martínez
Ferrán Torres
Oriol Romeu
Gavi
Iñaki Peña
Sergi Roberto
Héctor Fort
Marcos Alonso
Vitor Roque
Marc Guiu
Abdessamad Ezzalzouli
Eric García
Ansu Fati
Marc Casado
Aleix Garrido
Pau Victor Delgado
Virgil van Dijk
Luis Díaz
Alexis Mac Allister
Mohamed Salah
Alisson
Trent Alexander-Arnold
Dominik Szoboszlai
Darwin Núñez
Wataru Endo
Andrew Robertson
Joe Gomez
Cody Gakpo
Ibrahima Konaté
Curtis Jones
Diogo Jota
Jarell Quansah
Ryan Gravenberch
Harvey Elliott
Caoimhín Kelleher
Conor Bradley
Joël Matip
Kostas Tsimikas
Bobby Clark
Stefan Bajcetic
Ben Doak
Jayden Danns
Owen Beck
Thiago Alcántara
James McConnell
Kaide Gordon
Adrián
Luke Chambers
Lewis Koumas
Fabian Mrozek
Amara Nallo
Trey Nyoni
Marcelo Pitaluga
Calum Scanlon
Chris Führich
Waldemar Anton
Atakan Karazor
Alexander Nübel
Angelo Stiller
Enzo Millot
Hiroki Ito
Serhou Guirassy
Maximilian Mittelstädt
Deniz Undav
Jamie Leweling
Dan-Axel Zagadou
Pascal Stenzel
Josha Vagnoman
Anthony Rouault
Silas Katompa
Leonidas Stergiou
Jeong Woo-yeong
Fabian Bredlow
Mahmoud Dahoud
Lilian Egloff
Roberto Massimo
Borna Sosa
Luca Raimund
Jovan Milošević
Genki Haraguchi
Samuele Di Benedetto
Anrie Chase
Moussa Cissé
Thomas Kastanaras
Raul Paula
Mohamed Sankoh
Florian Schock
Dennis Seimen
Paulo Gazzaniga
Aleix García
Miguel Gutiérrez
Sávio
Daley Blind
Iván Martín
Artem Dovbyk
Yangel Herrera
Viktor Tsyhankov
David López
Yan Couto
Arnau Martinez
Portu
Juanpe
Cristhian Stuani
Pablo Torre
Valery Fernández
Jhon Solis
Antal Yaakobishvili
Jastin García
Toni Villa
Ibrahima Kebe
Bernardo Espinosa
Silvi Clúa
Juan Carlos
Iker Almena
Ricard Artero
Santiago Bueno
Toni Fuidias
Borja García
Eric Monjonell
Manu Vallejo
Harry Kane
Joshua Kimmich
Leon Goretzka
Leroy Sané
Alphonso Davies
Manuel Neuer
Kim Min-jae
Jamal Musiala
Thomas Müller
Dayot Upamecano
Konrad Laimer
Matthijs de Ligt
Noussair Mazraoui
Kingsley Coman
Aleksandar Pavlovic
Raphaël Guerreiro
Eric Dier
Sven Ulreich
Eric Maxim Choupo-Moting
Mathys Tel
Serge Gnabry
Bryan Zaragoza
Lovro Zvonarek
Sacha Boey
Bouna Sarr
Frans Krätzig
Daniel Peretz
Matteo Perez Vinlöf
Jonathan Asp Jensen
Adam Aznou
Taichi Fukui
Tom Hülsmann
Noel Nkili
Max Scholze
Jan Oblak
Koke
Antoine Griezmann
Axel Witsel
Marcos Llorente
Mario Hermoso
Samuel Lino
Rodrigo De Paul
Álvaro Morata
Nahuel Molina
Stefan Savić
Pablo Barrios
Rodrigo Riquelme
Ángel Correa
César Azpilicueta
Saúl Ñíguez
José María Giménez
Memphis
Reinildo Mandava
Gabriel Paulista
Yannick Carrasco
Thomas Lemar
Arthur Vermeeren
Çağlar Söyüncü
Javi Galán
Salim El Jebari
Abdellah Raihani
Antonio Gomis
Ivo Grbić
Horaţiu Moldovan
Marco Moreno
Tijjani Reijnders
Christian Pulisic
Theo Hernández
Mike Maignan
Rafael Leão
Olivier Giroud
Davide Calabria
Ruben Loftus-Cheek
Fikayo Tomori
Alessandro Florenzi
Malick Thiaw
Yacine Adli
Matteo Gabbia
Simon Kjær
Yunus Musah
Ismaël Bennacer
Samuel Chukwueze
Luka Jović
Rade Krunić
Marco Sportiello
Noah Okafor
Pierre Kalulu
Tommaso Pobega
Antonio Mirante
Filippo Terracciano
Jan-Carlo Simic
Luka Romero
Davide Bartesaghi
Alejandro Jiménez
Marco Pellegrino
Mattia Caldara
Kevin Zeroli
Chaka Traorè
Francesco Camarda
Lapo Nava
Lorenzo Colombo
Noah Raveyre
Youssouf Fofana
Wissam Ben Yedder
Aleksandr Golovin
Takumi Minamino
Wilfried Singo
Denis Zakaria
Philipp Köhn
Guillermo Maripán
Vanderson
Folarin Balogun
Maghnes Akliouche
Ismail Jakobs
Soungoutou Magassa
Thilo Kehrer
Mohamed Camara
Krépin Diatta
Radosław Majecki
Mohammed Salisu
Kassoum Ouattara
Caio Henrique Oliveira Silva
Eliesse Ben Seghir
Chrislain Matsima
Breel Embolo
Mamadou Coulibaly
Edan Diop
Eliot Matazo
Myron Boadu
Saïmon Bouabré
Antonin Cartillier
Ruben Aguilar
Malamine Efekele
Félix Lemaréchal
Lucas Michal
Kevin Volland
Loïs Openda
Xavi Simons
David Raum
Xaver Schlager
Benjamin Henrichs
Castello Lukeba
Mohamed Simakan
Janis Blaswich
Amadou Haidara
Willi Orban
Benjamin Šeško
Dani Olmo
Lukas Klostermann
Kevin Kampl
Péter Gulácsi
Yussuf Poulsen
Christoph Baumgartner
Nicolas Seiwald
Emil Forsberg
Elif Elmas
Timo Werner
Fabio Carvalho
Christopher Lenz
El Chadaille Bitshiabu
Nuha Jatta
Jonathan Norbye
Yannick Eduardo
Tim Köhler
Ilaix Moriba
Hugo Novoa
Leopold Zingerle
Gleison Bremer
Wojciech Szczęsny
Manuel Locatelli
Adrien Rabiot
Federico Gatti
Weston McKennie
Andrea Cambiaso
Danilo
Dušan Vlahović
Filip Kostić
Federico Chiesa
Fabio Miretti
Daniele Rugani
Timothy Weah
Kenan Yıldız
Alex Sandro
Moise Kean
Arkadiusz Milik
Samuel Iling-Junior
Nicolò Fagioli
Carlos Alcaraz
Hans Nicolussi Caviglia
Mattia Perin
Mattia De Sciglio
Paul Pogba
Carlo Pinsoglio
Joseph Nonge
Tiago Djaló
Dean Huijsen
Nikola Sekulov
Leonardo Cerri
Gian Crespi
Tommaso Mancini
Matìas Soulé
Berat Djimsiti
Éderson
Giorgio Scalvini
Marten de Roon
Teun Koopmeiners
Matteo Ruggeri
Marco Carnesecchi
Sead Kolašinac
Charles De Ketelaere
Davide Zappacosta
Mario Pašalić
Ademola Lookman
Gianluca Scamacca
Aleksei Miranchuk
Juan Musso
Emil Holm
Hans Hateboer
Rafael Tolói
Isak Hien
Mitchel Bakker
El Bilal Touré
Luis Muriel
Duván Zapata
Giovanni Bonfanti
Nadir Zortea
Michel Ndary Adopo
José Luis Palomino
Francesco Rossi
Leonardo Mendicino
Moustapha Cissé
Alessandro Cortinovis
Siren Diao
Alberto Manzoni
Caleb Okoli
Marco Palestra
Paolo Vismara
Nico Schlotterbeck
Gregor Kobel
Niclas Füllkrug
Julian Brandt
Marcel Sabitzer
Emre Can
Donyell Malen
Julian Ryerson
Mats Hummels
Marco Reus
Ian Maatsen
Niklas Süle
Jamie Bynoe-Gittens
Salih Özcan
Marius Wolf
Ramy Bensebaini
Jadon Sancho
Felix Nmecha
Karim Adeyemi
Alexander Meyer
Thomas Meunier
Sébastien Haller
Youssoufa Moukoko
Mateu Morey
Gio Reyna
Antonios Papadopoulos
Kjell-Arik Wätjen
Ole Pohlmann
Samuel Bamba
Hendry Blank
Julien Duranville
Thorgan Hazard
Paris Brunner
Guille Bueno
Marcel Lotka
Unai Simón
Iñaki Williams
Daniel Vivian
Aitor Paredes
Gorka Guruzeta
Nico Williams
Óscar de Marcos
Iñigo Ruiz de Galarreta
Oihan Sancet
Iñigo Lekue
Yuri Berchiche
Mikel Vesga
Beñat Prados
Álex Berenguer
Yeray Álvarez
Ander Herrera
Unai Gómez
Dani García
Iker Muniain
Imanol
Asier Villalibre
Adu Ares
Julen Agirrezabala
Raúl García
Mikel Jauregizar
Peru Nolaskoain
Aingeru Olabarrieta
Javi Martón
Alex Padilla
Hugo Rincón
Łukasz Skorupski
Joshua Zirkzee
Lewis Ferguson
Remo Freuler
Sam Beukema
Stefan Posch
Riccardo Calafiori
Victor Bernth Kristiansen
Michel Aebischer
Jhon Lucumí
Alexis Saelemaekers
Dan Ndoye
Riccardo Orsolini
Giovanni Fabbian
Charalambos Lykogiannis
Nikola Moro
Kacper Urbanski
Lorenzo De Silvestri
Federico Ravaglia
Oussama El Azzouzi
Jens Odgaard
Jesper Karlsson
Santiago Castro
Sydney van Hooijdonk
Tommaso Corazza
Nicolás Domínguez
Kevin Bonifazi
Nicola Bagnolini
Mihajlo Ilić
Joaquin Sosa
Adama Soumaoro
Brendan Chardonnet
Kenny Lala
Bradley Locko
Marco Bizot
Lilian Brassier
Romain Del Castillo
Hugo Magnetti
Pierre Lees-Melou
Mahdi Camara
Martin Satriano
Steve Mounié
