Name,Link
Lukáš Hrádecký,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Álex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo
Jonathan Tah,https://fbref.com/en/players/bd142efb/Jonathan-Tah
Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong
Florian Wirtz,https://fbref.com/en/players/e7fcf289/Florian-Wirtz
Jonas Hofmann,https://fbref.com/en/players/2903a856/Jonas-Hofmann
Edmond Tapsoba,https://fbref.com/en/players/a73c8f95/Edmond-Tapsoba
Exequiel Palacios,https://fbref.com/en/players/e82adcab/Exequiel-Palacios
Odilon Kossonou,https://fbref.com/en/players/1f3afdcb/Odilon-Kossonou
Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich
Victor Boniface,https://fbref.com/en/players/b146275b/Victor-Boniface
Piero Hincapié,https://fbref.com/en/players/0c7a48f8/Piero-Hincapie
Josip Stanišić,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic
Patrik Schick,https://fbref.com/en/players/5d4f7d61/Patrik-Schick
Amine Adli,https://fbref.com/en/players/dcfb17f4/Amine-Adli
Nathan Tella,https://fbref.com/en/players/f1e94cd6/Nathan-Tella
Adam Hložek,https://fbref.com/en/players/5521f419/Adam-Hlozek
Borja Iglesias,https://fbref.com/en/players/75645f0e/Borja-Iglesias
Arthur,https://fbref.com/en/players/8a958856/Arthur
Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar
Nadiem Amiri,https://fbref.com/en/players/555d5edd/Nadiem-Amiri
Gustavo Puerta,https://fbref.com/en/players/2c08cab0/Gustavo-Puerta
Noah Mbamba,https://fbref.com/en/players/e75129bd/Noah-Mbamba
Timothy Fosu-Mensah,https://fbref.com/en/players/a9142dc3/Timothy-Fosu-Mensah
Ken Izekor,https://fbref.com/en/players/ce129ae6/Ken-Izekor
Niklas Lomb,https://fbref.com/en/players/9321b8ed/Niklas-Lomb
Reno Münz,https://fbref.com/en/players/2a231b6b/Reno-Munz
Francis Onyeka,https://fbref.com/en/players/88d7a0d3/Francis-Onyeka
Federico Valverde,https://fbref.com/en/players/0959c2a2/Federico-Valverde
Antonio Rüdiger,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
Rodrygo,https://fbref.com/en/players/8f5e92a6/Rodrygo
Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal
Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos
Aurélien Tchouaméni,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
Vinicius Júnior,https://fbref.com/en/players/7111d552/Vinicius-Junior
Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin
Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
Ferland Mendy,https://fbref.com/en/players/3cefcaef/Ferland-Mendy
Nacho,https://fbref.com/en/players/2946f9a1/Nacho
Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric
Brahim Díaz,https://fbref.com/en/players/407feb71/Brahim-Diaz
Joselu,https://fbref.com/en/players/6265208f/Joselu
Fran Garcia,https://fbref.com/en/players/7226539b/Fran-Garcia
Lucas Vázquez,https://fbref.com/en/players/fd51b456/Lucas-Vazquez
David Alaba,https://fbref.com/en/players/05439de2/David-Alaba
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
Éder Militão,https://fbref.com/en/players/2784f898/Eder-Militao
Dani Ceballos,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
Arda Güler,https://fbref.com/en/players/3741ca58/Arda-Guler
Thibaut Courtois,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
Nicolás Paz,https://fbref.com/en/players/01bb93d5/Nicolas-Paz
Gonzalo García,https://fbref.com/en/players/74c2d562/Gonzalo-Garcia
Mario Martín,https://fbref.com/en/players/a9aff11a/Mario-Martin
Álvaro Muñoz,https://fbref.com/en/players/49a6ecbb/Alvaro-Munoz
Lucas Cañizares,https://fbref.com/en/players/7e84906e/Lucas-Canizares
Álvaro Carrillo,https://fbref.com/en/players/cf27a443/Alvaro-Carrillo
Fran,https://fbref.com/en/players/5e550a91/Fran
Fran González,https://fbref.com/en/players/ea04fa41/Fran-Gonzalez
Mario de Luis,https://fbref.com/en/players/3813d6d4/Mario-de-Luis
Álvaro Odriozola,https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola
Diego Piñeiro,https://fbref.com/en/players/ef6a4afe/Diego-Pineiro
Edgar Pujol,https://fbref.com/en/players/ff36ea10/Edgar-Pujol
Jacobo Ramón,https://fbref.com/en/players/4772b1d1/Jacobo-Ramon
Vinicius Tobias,https://fbref.com/en/players/880d7ee5/Vinicius-Tobias
Theo Zidane,https://fbref.com/en/players/c9e65bc5/Theo-Zidane
Henrikh Mkhitaryan,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan
Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer
Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella
Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram
Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu
Lautaro Martínez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco
Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni
Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian
Francesco Acerbi,https://fbref.com/en/players/b96b595c/Francesco-Acerbi
Benjamin Pavard,https://fbref.com/en/players/45a03961/Benjamin-Pavard
Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries
Stefan de Vrij,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij
Carlos Augusto,https://fbref.com/en/players/8d3cd59d/Carlos-Augusto
Yann Aurel Bisseck,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck
