,Name,Link
0,Bradley Barcola,https://fbref.com//en/players/a0d55a09/Bradley-Barcola
1,Achraf Hakimi,https://fbref.com//en/players/e42d61c7/Achraf-Hakimi
2,João Neves,https://fbref.com//en/players/c2a15a27/Joao-Neves
3,Willian Pacho,https://fbref.com//en/players/ecbe2839/Willian-Pacho
4,Warren Zaïre-Emery,https://fbref.com//en/players/6b9960cf/Warren-Zaire-Emery
5,Gianluigi Donnarumma,https://fbref.com//en/players/08f5afaa/Gianluigi-Donnarumma
6,Marquinhos,https://fbref.com//en/players/d5f2f82b/Marquinhos
7,Vitinha,https://fbref.com//en/players/3b029691/Vitinha
8,Lucas Beraldo,https://fbref.com//en/players/b8aedf06/Lucas-Beraldo
9,Ousmane Dembélé,https://fbref.com//en/players/b19db005/Ousmane-Dembele
10,Marco Asensio,https://fbref.com//en/players/45af8a54/Marco-Asensio
11,Lee Kang-in,https://fbref.com//en/players/8455ad90/Lee-Kang-in
12,Fabián Ruiz Peña,https://fbref.com//en/players/c0c7ff58/Fabian-Ruiz-Pena
13,Nuno Mendes,https://fbref.com//en/players/f20e4cc9/Nuno-Mendes
14,Milan Škriniar,https://fbref.com//en/players/30f5ffa9/Milan-Skriniar
15,Matvei Safonov,https://fbref.com//en/players/d97b252e/Matvei-Safonov
16,Désiré Doué,https://fbref.com//en/players/9e7483ff/Desire-Doue
17,Randal Kolo Muani,https://fbref.com//en/players/c0b3669f/Randal-Kolo-Muani
18,Senny Mayulu,https://fbref.com//en/players/bac89b96/Senny-Mayulu
19,Yoram Zague,https://fbref.com//en/players/5ce497e2/Yoram-Zague
20,Gonçalo Ramos,https://fbref.com//en/players/f63cda26/Goncalo-Ramos
21,Ibrahim Mbaye,https://fbref.com//en/players/201b4ee4/Ibrahim-Mbaye
22,Naoufel El Hannach,https://fbref.com//en/players/f9b69340/Naoufel-El-Hannach
23,Carlos Soler,https://fbref.com//en/players/fed17f5a/Carlos-Soler
24,Axel Tapé,https://fbref.com//en/players/75cde619/Axel-Tape
25,Arnau Tenas,https://fbref.com//en/players/30670b0e/Arnau-Tenas
26,Joshua Kimmich,https://fbref.com//en/players/49296448/Joshua-Kimmich
27,Dayot Upamecano,https://fbref.com//en/players/d248cd8f/Dayot-Upamecano
28,Kim Min-jae,https://fbref.com//en/players/e0f8151c/Kim-Min-jae
29,Harry Kane,https://fbref.com//en/players/21a66f6a/Harry-Kane
30,Manuel Neuer,https://fbref.com//en/players/8778c910/Manuel-Neuer
31,Alphonso Davies,https://fbref.com//en/players/d781d855/Alphonso-Davies
32,Jamal Musiala,https://fbref.com//en/players/2c0558b8/Jamal-Musiala
33,Michael Olise,https://fbref.com//en/players/c4486bac/Michael-Olise
34,Raphaël Guerreiro,https://fbref.com//en/players/048a1cbc/Raphael-Guerreiro
35,Kingsley Coman,https://fbref.com//en/players/042e8a49/Kingsley-Coman
36,Serge Gnabry,https://fbref.com//en/players/88e357ef/Serge-Gnabry
37,Aleksandar Pavlovic,https://fbref.com//en/players/2658c82f/Aleksandar-Pavlovic
38,João Palhinha,https://fbref.com//en/players/a78ff07f/Joao-Palhinha
39,Konrad Laimer,https://fbref.com//en/players/c1b7847c/Konrad-Laimer
40,Leon Goretzka,https://fbref.com//en/players/cc86b9a3/Leon-Goretzka
41,Thomas Müller,https://fbref.com//en/players/3c6089ab/Thomas-Muller
42,Leroy Sané,https://fbref.com//en/players/2b114be3/Leroy-Sane
43,Mathys Tel,https://fbref.com//en/players/829aa60c/Mathys-Tel
44,Sacha Boey,https://fbref.com//en/players/6c8ddd52/Sacha-Boey
45,Sven Ulreich,https://fbref.com//en/players/7d3e7da6/Sven-Ulreich
46,Eric Dier,https://fbref.com//en/players/ac861941/Eric-Dier
47,Adam Aznou,https://fbref.com//en/players/e678d983/Adam-Aznou
48,Arijon Ibrahimović,https://fbref.com//en/players/f5c4fd91/Arijon-Ibrahimovic
49,Daniel Peretz,https://fbref.com//en/players/3f29b3ba/Daniel-Peretz
50,Virgil van Dijk,https://fbref.com//en/players/e06683ca/Virgil-van-Dijk
51,Ryan Gravenberch,https://fbref.com//en/players/b8e740fb/Ryan-Gravenberch
52,Mohamed Salah,https://fbref.com//en/players/e342ad68/Mohamed-Salah
53,Andrew Robertson,https://fbref.com//en/players/2e4f5f03/Andrew-Robertson
