,Name,Link
0,Paris S-G,fbref.com//en/squads/e2d8892c/Paris-Saint-Germain-Stats
1,Bayern Munich,fbref.com//en/squads/054efa67/Bayern-Munich-Stats
2,Liverpool,fbref.com//en/squads/822bd0ba/Liverpool-Stats
3,Barcelona,fbref.com//en/squads/206d90db/Barcelona-Stats
4,Napoli,fbref.com//en/squads/d48ad4ff/Napoli-Stats
5,Atalanta,fbref.com//en/squads/922493f3/Atalanta-Stats
6,Real Madrid,fbref.com//en/squads/53a2f082/Real-Madrid-Stats
7,Eint Frankfurt,fbref.com//en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
8,Inter,fbref.com//en/squads/d609edc0/Internazionale-Stats
9,Fiorentina,fbref.com//en/squads/421387cf/Fiorentina-Stats
10,Atlético Madrid,fbref.com//en/squads/db3b9613/Atletico-Madrid-Stats
11,Chelsea,fbref.com//en/squads/cff3d9bb/Chelsea-Stats
12,Arsenal,fbref.com//en/squads/18bb7c10/Arsenal-Stats
13,Lazio,fbref.com//en/squads/7213da33/Lazio-Stats
14,Marseille,fbref.com//en/squads/5725cc7b/Marseille-Stats
15,Monaco,fbref.com//en/squads/fd6114db/Monaco-Stats
16,Leverkusen,fbref.com//en/squads/c7a9f859/Bayer-Leverkusen-Stats
17,Juventus,fbref.com//en/squads/e0652b02/Juventus-Stats
18,Manchester City,fbref.com//en/squads/b8fd03ef/Manchester-City-Stats
19,Villarreal,fbref.com//en/squads/2a8183b3/Villarreal-Stats
20,Athletic Club,fbref.com//en/squads/2b390eca/Athletic-Club-Stats
21,Lille,fbref.com//en/squads/cb188c0c/Lille-Stats
22,Brighton,fbref.com//en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
23,RB Leipzig,fbref.com//en/squads/acbb6a5b/RB-Leipzig-Stats
24,Milan,fbref.com//en/squads/dc56fe14/Milan-Stats
25,Lyon,fbref.com//en/squads/d53c0b06/Lyon-Stats
26,Dortmund,fbref.com//en/squads/add600ae/Dortmund-Stats
27,Freiburg,fbref.com//en/squads/a486e511/Freiburg-Stats
28,Bologna,fbref.com//en/squads/1d8099f8/Bologna-Stats
29,Mainz 05,fbref.com//en/squads/a224b06a/Mainz-05-Stats
30,Nott'ham Forest,fbref.com//en/squads/e4a775cb/Nottingham-Forest-Stats
31,Aston Villa,fbref.com//en/squads/8602292d/Aston-Villa-Stats
32,Tottenham,fbref.com//en/squads/361ca564/Tottenham-Hotspur-Stats
33,Nice,fbref.com//en/squads/132ebc33/Nice-Stats
34,Lens,fbref.com//en/squads/fd4e0f7d/Lens-Stats
35,Osasuna,fbref.com//en/squads/03c57e2b/Osasuna-Stats
36,Wolfsburg,fbref.com//en/squads/4eaa11d7/Wolfsburg-Stats
37,Mallorca,fbref.com//en/squads/2aa12281/Mallorca-Stats
38,Girona,fbref.com//en/squads/9024a00a/Girona-Stats
39,Auxerre,fbref.com//en/squads/5ae09109/Auxerre-Stats
40,Fulham,fbref.com//en/squads/fd962109/Fulham-Stats
41,Brentford,fbref.com//en/squads/cd051869/Brentford-Stats
42,Newcastle Utd,fbref.com//en/squads/b2b47a98/Newcastle-United-Stats
43,Stuttgart,fbref.com//en/squads/598bc722/Stuttgart-Stats
44,Gladbach,fbref.com//en/squads/32f3ee20/Monchengladbach-Stats
45,Real Sociedad,fbref.com//en/squads/e31d1cd9/Real-Sociedad-Stats
46,Reims,fbref.com//en/squads/7fdd64e0/Reims-Stats
47,Toulouse,fbref.com//en/squads/3f8c4b5f/Toulouse-Stats
48,Bournemouth,fbref.com//en/squads/4ba7cbea/Bournemouth-Stats
49,Manchester Utd,fbref.com//en/squads/19538871/Manchester-United-Stats
